name,address,rating,reviews_count,review,photo
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,طلبت من جاهز وكان مندوب التوصيل سريع ووصل الطلب حار.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU4L0bpO9cEpNLt9ucBfRwM3Wpm66nrMRzKFMVMEkHEXW8F15kH3r_eH0q&s=10#delivery1_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,التوصيل ممتاز، delivery rider وصل بسرعة وكانت التجربة جيدة.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU4L0bpO9cEpNLt9ucBfRwM3Wpm66nrMRzKFMVMEkHEXW8F15kH3r_eH0q&s=10#delivery2_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,طلب HungerStation وصل بدون تأخير والمندوب كان محترم.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU4L0bpO9cEpNLt9ucBfRwM3Wpm66nrMRzKFMVMEkHEXW8F15kH3r_eH0q&s=10#delivery3_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,المطعم يعتمد كثير على تطبيقات التوصيل مثل Mrsool وTalabat.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU4L0bpO9cEpNLt9ucBfRwM3Wpm66nrMRzKFMVMEkHEXW8F15kH3r_eH0q&s=10#delivery4_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,الخدمة داخل المطعم جيدة والأكل كان طازج.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrn5MiDTa_cg9SdbR-DJ0gkyMY-lYqL5yKSw&s#normal5_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,تجربة جيدة والأسعار مناسبة.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrn5MiDTa_cg9SdbR-DJ0gkyMY-lYqL5yKSw&s#normal6_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,المكان نظيف والموظفون متعاونون.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrn5MiDTa_cg9SdbR-DJ0gkyMY-lYqL5yKSw&s#normal7_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,الطعم ممتاز والطلب كان جاهز بسرعة.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrn5MiDTa_cg9SdbR-DJ0gkyMY-lYqL5yKSw&s#normal8_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,الفرع مزدحم لكن الخدمة مقبولة.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrn5MiDTa_cg9SdbR-DJ0gkyMY-lYqL5yKSw&s#normal9_شاورمر
شاورمر,طريق الملك فهد الفرعي، العارض، الرياض 11564، المملكة العربية السعودية,4.1,2549,الأكل وصل ساخن عند الطلب من delivery app.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrn5MiDTa_cg9SdbR-DJ0gkyMY-lYqL5yKSw&s#normal10_شاورمر
